case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,753702,查看是否收到非美丽说的广告弹窗,辽宁省|铁岭市|银州区|繁荣路|,"Xiaomi  MI 2S","Android 5.0.2","WIFI ",中国联通,LRX22G,"测试三次,其中一次出现弹窗广告","3G网络下,三个时间段,测试三次,其中一次出现弹窗广告,见截图.辽宁铁岭,联通3G.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790636_d3a807e7-b2c6-4a71-b50f-664ac7d339db.jpg""]",未知,P2,审核通过,"2015-12-21 12:08:01"
0,1050472,查看是否收到非美丽说的广告弹窗,河北省|邢台市|桥东区|河北路|,"Xiaomi  HM NOTE 1LTE","Android 4.4.4","WIFI ",中国移动,KTU84P,三个时间段无弹窗出现,我在三个时间段：21:28、22:28、23：30按照1-3的步骤问题定位测试，看看是否在我打开的的时间内会弹出广告信息的弹窗，经严禁的测试，逐项的打开长达1-2分钟，自始至终没出现弹窗。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890361_c7b404a0-6764-4b1d-8b66-1eda9fdf7f4a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890360_5323399f-316f-48ac-9299-bf42967a5aa4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890359_1ad6459a-1bb8-4997-b36c-ac102fb8db88.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890358_0ae55768-34e9-4694-b034-97f05c6cb74f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890357_6a291943-7936-41a3-a8d0-0cb4033fadb1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890354_027e4f32-cbdd-48b4-a0c1-cbde6a10fe43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890351_f364b32b-4281-43ca-aae4-336d1ea79381.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890350_1ac909f5-0d2e-4d56-9f0b-5edd3d166767.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890348_5c12f24f-15c3-4d81-9ebe-45c1b50794fa.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890347_abba6d85-4d3a-4017-a1ca-c7a4cc465273.jpg""]",未知,P0,审核不通过,"2015-12-07 23:46:49"
0,1666680,查看是否收到非美丽说的广告弹窗,河南省|驻马店市|汝南县|北新街|,"nubia  NX507J","Android 4.4.2","WIFI ",中国电信,NX507J_CNCommon_V1.82,打开客户端的标签中有广告弹窗,打开优客优品出现广告，打开明星同款也会出现，但并不是每次都是，偶尔会出现。电信4g网络。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7780047_aa30f602-22e9-46aa-800c-1db4b6075ec7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7780046_3022e753-98a5-40fe-9a88-fabd01a71113.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7780035_7416510e-dd0b-4ec2-9a27-2fe914b19483.jpg""]",未知,P2,审核通过,"2015-12-21 12:08:15"
0,2255459,查看是否收到非美丽说的广告弹窗,广东省|韶关市|乐昌市|群众路|8,"Coolpad  Coolpad 7620L","Android 4.3","mobile HSPA+",中国联通,4.3.048.P0.141226.7620L,【higo全球购】打开后，内容截图自动最大化，部分内容无法查看，需要手动双指操作缩小画面才可以。影响感知。,每次打开【higo全球购】这栏后，页面自动最大化，需要用户自行操作缩小。在操作缩小后，如果退出程序，再次打开【higo全球购】，屏幕又是自动最大化，不能适应屏幕大小。,[],未知,P0,审核不通过,"2015-12-12 19:29:21"
0,2960279,查看是否收到非美丽说的广告弹窗,湖北省|襄阳市|宜城市|宋玉四路|,"Xiaomi  MI 2SC","Android 4.4.4","WIFI ",中国电信,TACIT,在下午1点44的时候，出现广告,"电信3G
下午1:44分打开软件，进入优店优品一栏，出现广告","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790255_7c363b33-a784-4511-96b4-ee0908a38eb8.jpg""]",未知,P2,审核通过,"2015-12-21 12:09:33"
0,7355909,查看是否收到非美丽说的广告弹窗,重庆市|重庆市|南岸区|明佳路|,"Xiaomi  MI 2S","Android 5.0.2","MOBILE HSPA+",中国联通,LRX22G,福彩预测中心彩票中奖内幕揭秘,福彩预测中心，彩票中奖内幕揭秘，90后美女等等,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7895535_93e96ee8-1bfa-4652-a5d9-f1378915186d.jpg""]",未知,P2,审核通过,"2015-12-21 12:09:42"
0,11597463,查看是否收到非美丽说的广告弹窗,山西省|晋中市|榆次区|大学街|,"Xiaomi  Redmi Note 3","Android 5.0.2","WIFI ",中国移动,LRX22G,出现弹窗了，但是显示不完全,出现弹窗了，但是显示不完全，红米note3,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7771313_e04e1719-642e-4dbf-972b-359fcf0439e8.jpg""]",未知,P2,审核通过,"2015-12-21 12:09:51"
0,14517450,查看是否收到非美丽说的广告弹窗,山东省|临沂市|罗庄区|沂河路|45号,"htc  HTC One","Android 5.0.2","WIFI ",中国移动,"LRX22G release-keys",移动3G网络下无弹窗,"3个时间段，每次间隔3小时以上，在移动3G网络下，无弹窗

HTC ONE M7 801  安卓5.0.2","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772275_3bdf2c74-2ac6-4e24-ac7a-c29065127f17.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772273_c54e9f8d-8795-408b-899e-46bc74fe3080.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772271_b5840552-9cca-469c-862c-e558cd763aa5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772253_51eaff02-4227-489f-914a-b32f19e29ec2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772252_22903a4e-85b6-422b-8363-d5e879ef4380.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772251_d3a0d3c2-e557-4819-9ce2-c6681d106c26.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772250_569e4cbb-8f77-41cc-8808-853fabdcdf57.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772249_c0389559-9962-459c-bf80-befcaa22feef.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772245_7c77cb53-96c1-416d-9f3f-f673dc4bd906.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7772244_f243e76d-622d-4c3d-a884-d7c5798df42b.jpg""]",未知,P0,审核不通过,"2015-12-04 13:43:47"
0,14717178,查看是否收到非美丽说的广告弹窗,江西省|南昌市|青山湖区|黄家湖东路|,"Xiaomi  HM NOTE 1W","Android 4.4.2","WIFI ",中国联通,JH3CN0.0-9a804de0c54b914fc25fb,出现中国联通广告但不是弹窗,出现有两次，分开两个时间，退回主界面再进消失,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7785566_68a3475f-cc5c-400b-b00a-e2a470c78c4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7785564_4de3b142-d158-4509-99b5-1dad1ec7b12e.jpg""]",未知,P2,审核通过,"2015-12-21 12:09:59"
0,15065700,查看是否收到非美丽说的广告弹窗,湖南省|岳阳市|湘阴县|S308(新世纪大道)|,"HONOR  PLK-TL01H","Android 5.0.2","WIFI ",中国移动,PLK-TL01HC01B188,没有收到广告没有收到广告没有收到广告,没有收到广告。没有收到广告……没有收到广告,[],未知,P0,审核不通过,"2015-12-09 13:04:51"
