case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
1,458244,进入h5页面，大聚会页,吉林省|松原市|宁江区|和煦街|,"Xiaomi  HM NOTE 1LTE","Android 4.4.4","WIFI ",中国移动,KTU84P,进入页面时间长，进入后分类与商品重叠显示，，，，，,进入页面时间长，进入后分类与商品重叠显示，，，，，,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7485638_5b739977-5f25-420e-a99a-974b3039004b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7485637_70e56d75-4a54-4f28-8c98-41fd7f77415f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7485636_8ed2fdff-3f12-4f1d-92a6-6a48807a9bec.jpg""]",未知,P0,审核通过,"2015-11-26 12:06:22"
0,753702,进入首页,辽宁省|铁岭市|铁岭县|金沙江路|,"Xiaomi  MI 2S","Android 5.0.2","WIFI ",中国联通,LRX22G,有广告时显示超过3秒,"启动APP后,显示启动广告,左上角3秒倒计时,3秒结束后还需要多等1到2秒才能进入APP首页,倒计时有时停在1,有时停在0. 测试手机,小米2S, MIUI7, Android5.0.2, 2G运行内存(启动APP前可用内存约1G), WIFI连接(百兆光纤接入,高速稳定)","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7459142_161f01c7-a9d9-4680-abfa-78c521905ca1.jpg""]",未知,P0,审核通过,"2015-11-25 15:17:12"
1,779835,进入h5页面，大聚会页,河北省|邯郸市|广平县||,"Huawei  HUAWEI G750-T01","Android 4.2.2","WIFI ",中国联通,"G750-T01 V100R001CHNC00B152",大聚会页面框架一直展现不了。,大聚会页面框架一直展现不了。3分钟了也没有展现出来。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7483383_40aa3896-c2bb-49da-9c6d-7b16ddf45fae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7483382_ed891581-c4b0-4945-a6ad-fa5b44ab08da.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7483381_5d7494ba-9460-4d65-830b-360ba044f9f4.jpg""]",未知,P0,审核通过,"2015-11-26 11:19:10"
0,996311,进入首页,北京市|北京市|西城区|阜成门外大街|30号,"Lenovo  Lenovo Z90-7","Android 5.0.2","WIFI ",unknown,VIBEUI_V2.5_1527_5.468.1_ST_Z9,安装打开app后，随手划动到介绍封面第二页，然后点右上角“跳过”，程序在两三秒内无反应，随后手机黑屏，约5-10秒以后才进入苏宁首页,安装打开app后，随手划动到介绍封面第二页，然后点右上角“跳过”，程序在两三秒内无反应，随后手机黑屏，约5-10秒以后才进入苏宁首页,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7459072_6d50d5e2-1b37-4c33-99c2-80a4ddf9e3bc.jpg""]",未知,P0,审核通过,"2015-11-25 15:15:20"
0,1635914,进入首页,湖北省|武汉市|江夏区|S8(关豹高速公路)|,"Lenovo  Lenovo A820t","Android 4.1.2","WIFI ",中国移动,"Lenovo A820t_S115_130227",整个手机会黑屏一段时间,"刚安装完，点击开启苏宁之旅，整个屏幕会黑屏3~5秒，然后进入首页
第二次进入首页时无此现象","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7538923_e070c62b-6720-47e4-9f13-6f097388a097.jpg""]",未知,P0,审核通过,"2015-11-27 15:29:22"
0,2093509,进入首页,河北|衡水,"Meizu  M031","Android 4.1.1","WIFI ",无SIM卡,"Flyme 2.5 (A12322)",进入主页后，程序无响应，主页界面产品图片无法显示！,魅族M031：打开软件，进入主页非常慢，然后出现程序无相应，点击等待后进入主页，浏览主页，下拉产品图片空白，图片无法加载。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7574588_4023d47f-4f29-4098-85a8-a7deffe6bf43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7574587_30de046e-1e92-4983-9955-7b1f963e3d21.jpg""]",未知,P0,审核通过,"2015-11-28 19:39:32"
1,3463911,进入h5页面，大聚会页,四川省|成都市|大邑县|滨江西路|北1段,"Xiaomi  HM 1S","Android 4.4.4","WIFI ",中国电信,KTU84P,我使用的是红米1S电信版，打开首页“更多”菜单进入便民服务的“电子书”子菜单，最少等了20秒以上才能进入跳转的网页,我使用的是红米1S电信版，打开首页“更多”菜单进入便民服务的“电子书”子菜单，最少等了20秒以上才能进入跳转的网页,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7433894_7c7bfe18-90ca-47b6-bfde-db26f730ae99.jpg""]",未知,P0,审核通过,"2015-11-24 22:14:30"
0,14249025,进入首页,江苏省|镇江市|京口区|智慧大道|,"OPPO  R811","Android 4.0.4","WIFI ",无SIM卡,R811_12_4.11_140626,手机微任务上可以无限做任务,任务做完后，再次刷新又能重新测试任务，可以无限做任务,[],未知,P0,审核不通过,"2015-11-24 22:11:09"
1,14329011,进入h5页面，大聚会页,北京市|北京市|昌平区|X021(东北路)|,"ZTE  U9180","Android 4.3","WIFI ",中国移动,"ZTE U9180_CNMobileCommon_V0.50",手机存储卡将近用完，打开APP后，首页不显示图片，过一会儿后，APP崩溃,手机存储卡将近用完，打开APP后，首页不显示图片，过一会儿后，APP崩溃,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7520952_225baa07-789e-41ad-88fd-5bee9599e67a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7520951_428047d8-9269-46a3-834c-0a9146540bf3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7520950_e31ff6cf-9369-43d1-b393-d2764dc0ee7f.jpg""]",未知,P0,审核通过,"2015-11-27 10:05:42"
1,15085574,进入h5页面，大聚会页,湖南省|湘潭市|岳塘区|滨江路|,"Honor  HONOR H30-L02","Android 4.4.2","WIFI ",中国联通,H30-L02V100R001CHNC00B271,大聚会图片加载过慢，超过15秒,大聚会图片加载过慢，WiFi20m宽带都加载了15秒以上，有些图片显示不出，或延后很久,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7433614_c2a61f3a-2a33-4e3f-a166-e6d0de250f73.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7433613_35625ef0-5eb2-46bb-b961-e37b0b5e0c69.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7433612_2b616bfa-8bde-4f65-b0c0-ee7d270711a2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7433611_5a3ab8cf-e926-4d92-9b3c-c2c32bc0b474.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7433610_7c8de193-14f1-49b4-a406-2f86bc5dca69.jpg""]",未知,P0,审核通过,"2015-11-24 21:50:15"
1,15287469,进入h5页面，大聚会页,北京市|北京市|朝阳区|安家楼村路|,"Huawei  HUAWEI P7-L00","Android 4.4.2","WIFI ",无SIM卡,P7-L00V100R001C17B620,使用3g网络不佳，无法进入该h5页面,使用3g网络不佳，点击大聚会区域，无法进入该h5页面,[],未知,P0,审核通过,"2015-11-26 14:52:26"
