case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,531756,信息采集,山西省|太原市|万柏林区|窊流路|,"锤子  坚果手机","Android 4.4.4","WIFI ",中国移动,4.4.058.P0.150407.8675-A,登录后，翻到第二页，点击投稿，编辑内容时无法选择一级栏目的类别。,登录后，翻到第二页，点击投稿，编辑内容时无法选择一级栏目的类别。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521332_31594218-b2c8-4bf5-be52-a4e7fe1f397b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521331_34012dcf-0ee9-4a87-972e-0aed69896480.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521329_e1a14088-7139-4c5a-bafe-902c92e42eb6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521328_cddc9607-a131-4860-a60d-acf648eb3645.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521327_d7c72bbf-15b0-4e9d-b064-72eccc04e536.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521326_a44ad206-ed04-4d52-8b95-0fb3f84d5ba9.jpg""]",未知,P0,审核不通过,"2015-10-09 22:29:10"
0,531756,信息采集,山西省|太原市|万柏林区|窊流路|,"锤子  坚果手机","Android 4.4.4","WIFI ",中国移动,4.4.058.P0.150407.8675-A,登录后，翻到第二页，点击投稿，编辑好内容后，点击发布，经常发生APP停止运行的情况。,登录后，翻到第二页，点击投稿，编辑好内容后，点击发布，经常发生APP停止运行的情况。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521332_31594218-b2c8-4bf5-be52-a4e7fe1f397b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521331_34012dcf-0ee9-4a87-972e-0aed69896480.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521329_e1a14088-7139-4c5a-bafe-902c92e42eb6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521328_cddc9607-a131-4860-a60d-acf648eb3645.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521327_d7c72bbf-15b0-4e9d-b064-72eccc04e536.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521326_a44ad206-ed04-4d52-8b95-0fb3f84d5ba9.jpg""]",未知,P0,审核不通过,"2015-10-09 22:29:10"
0,531756,信息采集,山西省|太原市|万柏林区|窊流路|,"锤子  坚果手机","Android 4.4.4","WIFI ",中国移动,4.4.058.P0.150407.8675-A,登录后，投稿，然后点击左下角头像（默认不修改头像是黑色的，几乎看不出来），然后再个人中心点击“我的发文”或者“我的发帖”都找不到已经投稿的内容。,登录后，投稿，然后点击左下角头像（默认不修改头像是黑色的，几乎看不出来），然后再个人中心点击“我的发文”或者“我的发帖”都找不到已经投稿的内容。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521332_31594218-b2c8-4bf5-be52-a4e7fe1f397b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521331_34012dcf-0ee9-4a87-972e-0aed69896480.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521329_e1a14088-7139-4c5a-bafe-902c92e42eb6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521328_cddc9607-a131-4860-a60d-acf648eb3645.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521327_d7c72bbf-15b0-4e9d-b064-72eccc04e536.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5521326_a44ad206-ed04-4d52-8b95-0fb3f84d5ba9.jpg""]",未知,P0,审核通过,"2015-10-09 22:29:10"
0,1576509,信息采集,上海|上海,"Xiaomi  MI 4LTE","Android 4.4.4","WIFI ",中国电信,KTU84P,每篇文章最下面的广告显示不完整,"每篇文章最下面的广告显示不完整 文字 图像有缺的地方","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5590227_c8633e07-db05-4ca9-95ca-3cd816d3d6e8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5590226_a2072239-5fe7-4c05-949a-13a3468ae12a.jpg""]",未知,P0,审核通过,"2015-10-11 22:07:03"
0,2329141,信息采集,广东省|中山市|中山市市辖区|隆发路|13-b,"Huawei  HUAWEI G7-UL20","Android 4.4.4","WIFI ",中国联通,G7-UL20V100R001CHNC00B265,打开程序后，界面与任务描述的不一样，查看设置，是最新版本。,打开程序后，界面与任务描述的不一样，查看设置，是最新版本。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5515808_e501c48c-bc28-4ca2-92ee-9c9a339b9763.jpg""]",未知,P0,审核不通过,"2015-10-09 21:35:47"
0,2557765,信息采集,四川省|宜宾市|翠屏区|永兴街|37号,"Huawei  X1 7.0","Android 4.4.2","WIFI ",无SIM卡,7D-501uV100R002C208B011,软件打开的界面跟产品找茬的网页提示的页面不一致,软件打开的界面跟产品找茬的网页提示的页面不一致,[],未知,P0,审核不通过,"2015-10-10 20:36:14"
0,3463911,信息采集,四川省|成都市|大邑县|滨江东路|北1段-50,"Xiaomi  HM 1S","Android 4.4.4","WIFI ",中国电信,KTU84P,下载完成打开APP后，系统提示软件有更新，更新完成后用新软件替换旧软件不能安装，试了5次均提示安装失败，只能在旧版本下打开APP,下载完成打开APP后，系统提示软件有更新，更新完成后用新软件替换旧软件不能安装，试了5次均提示安装失败，只能在旧版本下打开APP,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5514764_94d1a08c-dd9b-4078-a7db-fcabf2afeb05.jpg""]",未知,P0,审核不通过,"2015-10-09 21:14:24"
0,4729045,信息采集,四川|成都,"Xiaomi  2014112","Android 4.4.4","WIFI ",中国移动,KTU84P,没找到上述图标，无法完成,无法完成任务，没有发现任务中需要点击的图标，而且图标样式也不一样,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5560209_e8d1ca4a-0ed1-45ec-890c-eb2a6045032b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5560208_661aa70d-e2bb-4fbe-ba35-83c50212c27d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5560207_9da84c14-b48f-4a2d-8be7-60b5e5fb104e.jpg""]",未知,P0,审核不通过,"2015-10-10 15:02:46"
0,4910335,信息采集,吉林|长春,"Xiaomi  2013022","Android 4.4.2","WIFI ",unknown,"MIUI HBJ2.0",网页没有图片？换了三个浏览器，重启了电脑，重启了路由器还是没有图片,网页没有图片？换了三个浏览器，重启了电脑，重启了路由器还是没有图片，不知道圈的是哪个图标，所有的都点了一遍，好坑啊！！,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5528753_b0b9ae4e-2a5a-42bd-8e47-3ef5b0e29221.jpg""]",未知,P0,审核不通过,"2015-10-10 01:57:57"
0,11631802,信息采集,广东省|中山市|中山市市辖区|隆发路|13-b,"Huawei  HUAWEI G7-UL20","Android 4.4.4","WIFI ",中国联通,G7-UL20V100R001CHNC00B265,程序界面与任务描述的不一样，查看程序的设置项，是最新版本。,程序界面与任务描述的不一样，查看程序的设置项，是最新版本。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5515949_6f7370bc-d661-4346-93c6-face6acb12b4.jpg""]",未知,P0,审核不通过,"2015-10-09 21:38:49"
