case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,18755,重点功能测试,湖北省|襄阳市|襄城区|内环路|8,"Xiaomi  2014811","Android 4.4.4","WIFI ",中国移动,KTU84P,输入不存在的账号时提示信息不友好,"1、安装软件；
2、打开软件；
3、进入登陆界面；
4、输入正确格式的电话号码，随意输入登录密码（系统中不存在的账号），点击登陆，提示内部接口异常，提示信息不友好，建议给出比较友好的提示信息。提示信息请参见截图。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7756300_360fba21-463e-4ed8-adee-78a995616151.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7756299_88fdb0b2-5f34-4273-b010-c67aa9049565.jpg""]",未知,P0,审核通过,"2015-12-04 07:55:20"
0,211775,重点功能测试,河北省|石家庄市|桥东区|休门街|115号,"Lenovo  Lenovo S898t+","Android 4.2.2","WIFI ",中国移动,S898t+_S527_140414,添加活动定位错误！！,"1、在“必聚”上面的“+”选择“添加活动”；
2、活动地点输入：光明渔港，选择列表中的光明渔港（万达店）；
3、自动返回到添加活动页面，地点后面的图标打开后地图显示位置错误（是中铁商务广场店，不是万达店）","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750854_ae7f9a5d-01af-481b-8442-bc3dbce074fe.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750853_54457d9c-d160-40f8-96ee-6dc1a98179a5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750852_7daa9d58-eb7c-4ace-823f-8b32718df2bd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750851_32f02cfc-7519-4c4b-8586-b24bee12955a.jpg""]",未知,P0,审核通过,"2015-12-03 23:37:02"
0,356346,重点功能测试,山东省|枣庄市|峄城区|坛山路|27号,"Xiaomi  MI 2A","Android 4.1.1","WIFI ",中国移动,JRO03L,注册不了，手机收不到验证码,用手机注册，点击验证码，一直提示等待中，收不到验证码,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7759311_6f7b620e-025a-45f7-aec2-abe2bd3cdaa9.jpg""]",未知,P0,审核不通过,"2015-12-04 09:30:32"
0,481216,重点功能测试,山东省|临沂市|苍山县|G206|,"Xiaomi  HM NOTE 1LTE","Android 4.4.4","WIFI ",无SIM卡,KTU84P,必聚功能无法添加东西,新注册测试账号登录后，点击主导航中必聚，页面中间有个加载，点击无效，也无提醒什么原因。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7751169_4b5ae0d8-68fc-4619-86ae-2b62e3200358.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7751168_4c83cb66-8b74-442a-a79f-d62bbcfc3d65.jpg""]",未知,P0,审核不通过,"2015-12-04 00:15:20"
0,753702,重点功能测试,辽宁省|铁岭市|铁岭县|金沙江路|39号,"Xiaomi  MI 2S","Android 5.0.2","WIFI ",中国联通,LRX22G,"APP提示""网络连接失败,请等网络畅通时重试"",手机无法联网,关掉该APP后手机上网功能恢复","1.通过微任务下载安装APP,并启动,注册用户并登录(到此时手机联网都是没问题的).
2.在登录后首屏即得到提示""网络连接失败,请等网络畅通时重试""(手机使用WIFI网络,百兆商用光纤,测试时带宽充足无限速,平均下载速度为8M/s)
3.开启手机浏览器,打开百度搜索,浏览器显示错误,无法打开网页.
4.结束该APP的运行,刷新手机浏览器,网页恢复正常.
5.反复测试,只要该APP运行中(注册和登录过程除外),手机就无法联接网络.
6.其余功能均需联网操作,但APP导致手机无法使用网络,无法继续进行其它功能测试.
7.另,正常操作时发生一次APP崩溃,无法复现,但截图到了系统错误日志.见截图.
顺便,众测审核BUG的员工是混蛋.

手机环境:小米2S联通非定制机, MIUIv7开发版, Android_v5.0.2, 2G运行内存(测试时至少还有40%内存可用), 3G+WIFI(10M或100M光纤接入), 未安装任何第三方安全类APP, 未启用Root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774469_ce1af85e-76e6-481c-aa04-5ce658ecec47.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774467_0670b75c-6011-40f2-8032-7fe7798c59fb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774466_33db41c5-c736-4bf0-be76-56dd6128c505.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774465_ddd093d9-292c-4649-88d1-a6825982c25a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774464_b18fa803-c313-4912-a4c4-f6a8c17d5821.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774463_949ccb87-cd8c-4c70-b98f-570dc96485c9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774462_da6882a1-9ca5-4ac5-9638-c29d753ee432.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774461_ad9b3372-25ab-4b84-8a7a-60fe66b337fd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774460_7c02ee44-c801-446b-908d-b856818c1bd4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7774459_cb08f63a-4aa3-4ad2-b5cf-75b885c41ffa.jpg""]",未知,P0,审核通过,"2015-12-04 14:04:56"
0,768348,重点功能测试,江苏省|徐州市|铜山区|厚德路|,"Meizu  M040","Android 5.0.1","WIFI ",无SIM卡,"Flyme OS 4.5.7A",必邻搜索扫描界面显示不全,"打开app,点击必邻，扫描附近的人，扫描界面右侧缺失或未充满","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7749394_f5aea14d-1ccb-4fdc-9df1-436a1199aa8b.jpg""]",未知,P0,审核通过,"2015-12-03 21:59:09"
0,1213537,重点功能测试,河北省|石家庄市|桥西区|槐安西路|95,"Xiaomi  2014501","Android 4.4.2","WIFI ",中国移动,KOT49H,发布活动时出现问题，无法发布。,发布活动时长时间停留在提示界面，或出现发布失败，未提示失败原因。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7761525_1f453941-d513-48ea-b46c-7428dd12fbb3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7761524_4bbcf1e0-66b4-463b-9497-0924f26d0928.jpg""]",未知,P0,审核通过,"2015-12-04 10:25:25"
0,1619566,重点功能测试,辽宁省|大连市|金州区|G202(国泰路)|,"Huawei  HUAWEI G750-T01","Android 4.2.2","WIFI ",中国移动,"G750-T01 V100R001CHNC00B152",密码无法输入英语字母密码无法输入英语字母,"密码无法输入英语字母密码无法输入英语字母 华为畅玩  输入方法讯飞输入",[],未知,P0,审核不通过,"2015-12-04 20:25:12"
0,1684398,重点功能测试,重庆市|重庆市|渝北区|锦湖路|61号,"Xiaomi  MI 2SC","Android 5.0.2","MOBILE EDGE",中国移动,LRX22G,在网络状态良好的情况下老师弹出网络连接失误,"机型小米2S： 下载软件安装后，再发布活动过程中，无法连接网络，并不时弹出网络错误，请换网络重新测试。换了网络环境后依然如此","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750771_155e7772-c814-46ad-8a33-8547452165dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750770_ff5f745d-5aa6-4142-9084-62a4b0bc342c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750769_22a9299a-ef54-4e4c-a2dd-6e0ac5d8ea85.jpg""]",未知,P0,审核通过,"2015-12-03 23:22:14"
0,1705948,重点功能测试,上海市|上海市|静安区|安远路|309号,"Meizu  M460A","Android 5.0.1","WIFI ",中国移动,"Flyme OS 4.5.7Y",注册后界面长时间显示白屏,手机型号：魅族MX4，注册后界面长时间显示白屏，返回后有提示数据正在更新，直接退出程序后重进可正常登陆，比邻的界面未适配完整，右边有竖条残缺。,[],未知,P0,审核通过,"2015-12-04 09:59:55"
0,1889300,重点功能测试,浙江省|衢州市|柯城区|紫荆东路|74号,"Huawei  HUAWEI MT7-CL00","Android 4.4.2","WIFI ",中国电信,MT7-CL00V100R001C92B135,短信验证码内有非法文字提示,当获取短信验证码后，系统自动填入的验证码后有公司名字提示信息。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7775531_4733fb45-5256-42ac-9a8c-aa565b141324.jpg""]",未知,P0,审核通过,"2015-12-04 14:20:22"
0,1997078,重点功能测试,山东省|青岛市|李沧区|青山路|678-1,"Xiaomi  2014813","Android 4.4.4","WIFI ",中国移动,KTU84P,在进行注册的时候，输入手机号获得验证后，进行注册，设置密码时密码框中只能输入数字，没法输入字母，只输入数字又无法完成注册。,"在进行注册的时候，输入手机号获得验证后，进行注册，设置密码时密码框中只能输入数字，没法输入字母，只输入数字又无法完成注册。能在其他软件注册时输入字母
手机型号 红米二 操作系统 安卓4.4.4  使用输入法 搜狗输入法","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7748246_9b4600c5-1df8-4382-8329-7361467eed77.jpg""]",未知,P0,审核通过,"2015-12-03 21:18:54"
0,2329141,重点功能测试,广东省|中山市|中山市市辖区|隆发路|13-b,"Huawei  HUAWEI G7-UL20","Android 4.4.4","WIFI ",中国联通,G7-UL20V100R001CHNC00B265,注册接收验证码，系统会自动填写，但系统截取字符有误，有多余字符，需要手动删除。,注册接收验证码，系统会自动填写，但系统截取字符有误，有多余字符，需要手动删除。,[],未知,P0,审核通过,"2015-12-04 11:48:26"
0,2893467,重点功能测试,浙江省|温州市|鹿城区|车站大道|2号,"Meizu  M356","Android 5.0.1","WIFI ",中国移动,"Flyme OS 4.5.7A","在开始的3张宣传图片 和我的手机不适配有黑边","我的手机魅族mx3  在开始的3张宣传图片和我的手机不适配有黑边","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7761936_97be6a3d-c03c-4072-969f-b835aa1dec9c.jpg""]",未知,P0,审核通过,"2015-12-04 10:30:19"
0,2927522,重点功能测试,四川省|成都市|金堂县|X058(金乐路)|,"Honor  Che1-CL20","Android 4.4.4","WIFI ",中国电信,Che1-CL20V100R001CHNC00B282,功能模块不完善，无法发而活动,"打开并注册 APP后，各功能模块不完善；点击发布活动，无法发布活动。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7749692_533869c5-2165-48e6-85f2-4fc9aed629dd.jpg""]",未知,P0,审核通过,"2015-12-03 22:09:08"
0,6205265,重点功能测试,广东省|珠海市|香洲区|屏东四路|11,"SHARP  306SH","Android 4.4.2","WIFI ",无SIM卡,KVT49L,活动类型的按钮没法按，按了没反应,活动类型的按钮没法按，按了没反应。点添加活动按钮，之后有一个活动类型的下拉菜单选项，这个按钮按不了。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7759067_dfab050d-8f1b-42a7-86b4-25875f416739.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7759066_010b11e6-fbe6-428f-9451-cb7d35c335a0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7759065_b95c2a87-5630-4987-8d05-c9a10cd4e60e.jpg""]",未知,P0,审核不通过,"2015-12-04 09:16:22"
0,7916517,重点功能测试,浙江省|台州市|椒江区|沚京街|485号,"Meizu  M351","Android 5.0.1","WIFI ",中国移动,"Flyme OS 4.5.7A",打开软件，注册成功后，明明可以上网，却提示网络连接失败,打开软件，注册成功后，明明可以上网，却提示网络连接失败,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750744_927b8257-ff2d-40d1-adf3-cd8a4f015d75.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7750743_55aac1d1-d293-4263-a7f1-9e6a9d30afbb.jpg""]",未知,P0,审核通过,"2015-12-03 23:25:21"
