case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,2787376,测试仔细,河北省|石家庄市|栾城县|栾城大街|,"Lenovo  Lenovo A750","Android 4.0.3","WIFI ",无SIM卡,A750_S306_120530,在首页，点击搜索出现商家列表，类别为全部时，排序中的按价格排序无法点击,在首页，点击搜索出现商家列表，类别为全部时，排序中的按价格排序无法点击,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7506858_f2641864-5d6b-48a0-bf71-774d8f4f7fb9.jpg""]",未知,P0,审核通过,"2015-11-26 21:10:01"
0,3463911,测试仔细,四川省|成都市|大邑县|甲子东道|,"Xiaomi  HM 1S","Android 4.4.4","WIFI ",中国电信,KTU84P,我试用的是红米1S电信版，在慧车宝菜单打开聚惠任一店家，进入页面后，在线预约和语音咨询功能不能正常使用,我试用的是红米1S电信版，在慧车宝菜单打开聚惠任一店家，进入页面后，在线预约和语音咨询功能不能正常使用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7486843_d7fe2e79-57d6-40a8-ac02-85cb8be39ef3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7486842_ff33dcef-1bdb-47a6-9c77-87015fd980db.jpg""]",未知,P0,审核不通过,"2015-11-26 12:51:21"
0,3463911,测试仔细,四川省|成都市|大邑县|甲子东道|,"Xiaomi  HM 1S","Android 4.4.4","WIFI ",中国电信,KTU84P,我试用的是红米1S电信版，在慧车宝菜单网页里的店家的图片不能正常显示,我试用的是红米1S电信版，在慧车宝菜单网页里的店家的图片不能正常显示,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7486843_d7fe2e79-57d6-40a8-ac02-85cb8be39ef3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7486842_ff33dcef-1bdb-47a6-9c77-87015fd980db.jpg""]",未知,P0,审核通过,"2015-11-26 12:51:21"
0,4850833,测试仔细,北京|北京,"Amazon  KFTT","Android 4.0.3","WIFI ",无SIM卡,IML74K,我的-去评分，点击没反应或者跳转到了跳转到了平板电脑的亚马逊应用页面。,我的-去评分，点击没反应或者跳转到了跳转到了平板电脑的亚马逊应用页面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7492546_b6ffa309-1344-479a-b479-4e4d836cebb0.jpg""]",未知,P0,审核通过,"2015-11-26 14:58:15"
0,6964104,测试仔细,上海市|上海市|嘉定区|汇善路|,"lge  LGL22","Android 4.4.2","WIFI ",unknown,KOT49I,"定位为上海，聚惠 推荐商家全是北京地区",打开首页，进入聚惠查看，推荐商家为北京区域，进入洗车等菜单倒是上海区域,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7504141_54881a00-bec8-4062-95e3-d251006abe8c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7504140_4c50127f-b094-432b-a848-5f6cfd8a561d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7504139_aefb81cb-dd1a-43f7-bb69-6c1f40154396.jpg""]",未知,P0,审核不通过,"2015-11-26 20:19:21"
0,14539706,测试仔细,北京市|北京市|海淀区|友谊路|102号,"Xiaomi  MI NOTE LTE","Android 4.4.4","mobile LTE",中国移动,KTU84P,打开app后定位慢，无内容显示,打开appa后无内容显示，发现未定位导致。建议定位结果未完成时，显示内容，会误认为是appBUG,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7471546_c97a1b27-241f-4b85-ba9c-a4d2095fb95b.jpg""]",未知,P0,审核通过,"2015-11-25 23:10:28"
0,14818620,测试仔细,福建省|厦门市|集美区|银亭路|28,"Meizu  M460","Android 4.4.4","WIFI ",unknown,"Flyme OS 4.2.1.2Y",显示有问题，大多数图片都刷不出来,显示有问题，大多数图片都刷不出来，我是开着WIFI的,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7545517_5e71a462-ccc9-43e6-a1f0-217e69ca97a6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7545516_99299ee8-58d3-465b-b3bf-91c79bdc1f09.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7545515_e1c3f2fe-fc85-4c45-bb07-264b45e2cb8e.jpg""]",未知,P0,审核通过,"2015-11-27 17:59:04"
0,15342275,测试仔细,海南省|海口市|美兰区|和平南路|59号,"vivo  vivo X3L","Android 4.3","WIFI ",中国移动,JLS36C,打开某一洗车服务详细页面，点击导航，提示信息错误,"打开软件
打开某一洗车负责页面
点击导航，查看地图
提示信息错误","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7536930_762b42f9-58d7-4e41-a068-5fbc757e8554.jpg""]",未知,P0,审核通过,"2015-11-27 14:55:28"
0,15351336,测试仔细,陕西省|西安市|雁塔区|西宝疏导线|,"Honor  Che1-CL10","Android 4.4.4","WIFI ",中国电信,Che1-CL10V100R001CHNC92B282,有界面闪退现象，其他都流畅,"下载打开慧车宝app
按要求对各个界面点击打开，
打开各个界面都还算流畅
过程中有闪退黑屏现象","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7478583_55e02909-7952-484e-bc50-dd9400927b19.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7478582_bfc6a375-d1c5-4f35-89f5-aed4279bdfa3.jpg""]",未知,P0,审核通过,"2015-11-26 09:17:43"
0,15403892,测试仔细,浙江省|台州市|三门县||,"Meizu  m1 note","Android 5.1","WIFI ",中国联通,"Flyme OS 4.5.7A",无法正确显示商家的图片，图片显示不出来。,无法正确显示商家的图片，图片显示不出来。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7485381_bbdb034f-f950-4810-b0b2-1dd9a9e31f30.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7485380_6a0d9013-d505-4ad8-bab9-452b7464eb8b.jpg""]",未知,P0,审核通过,"2015-11-26 11:53:44"
