case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,779468,在首页搜索图片,北京市|北京市|昌平区|太平庄北街|,"Huawei  S8-701u","Android 4.3","WIFI ",unknown,S8-701uV100R001C233B008,进入范冰冰的百度百科，滑动到“相关人物”区域，这个区域那么小的范围也是可滑动，就导致本来想往下翻，变成了滑这个区域，两个滑动貌似有冲突,进入范冰冰的百度百科，滑动到“相关人物”区域，这个区域那么小的范围也是可滑动，就导致本来想往下翻，变成了滑这个区域，两个滑动貌似有冲突,[],未知,P0,审核不通过,"2015-05-07 20:42:21"
2,779468,首页添加卡片测试,北京市|北京市|昌平区|太平庄北街|,"Huawei  S8-701u","Android 4.3","WIFI ",unknown,S8-701uV100R001C233B008,最后一张图片只显示了半截,进入“开心一刻”的“图文”之后，一直往下查看，拉到不能再往下，可以看到最后一张图片仅仅是显示了半截，图片下面的“赞”之类的都有，就是图片未显示全,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3317663_dd0054b8-defe-418f-b804-19fa49351dcd.jpg""]",未知,P0,审核不通过,"2015-05-07 20:42:21"
2,963315,首页添加卡片测试,河北省|石家庄市|正定县|G4(京港澳高速公路)|,"Huawei  H30-T10","Android 4.4.2","WIFI ",中国移动,"H30-T10 V100R001CHNC00B256SP01","再来一个 点击区域太小","开心一刻  下方的再来一个 点击区域太小手指点击不方便，只能点击内容打开新页面看。",[],未知,P0,审核不通过,"2015-05-11 18:09:31"
0,1232397,在首页搜索图片,辽宁省|大连市|金州区|G202(国泰路)|,"Huawei  HUAWEI G750-T01","Android 4.2.2","WIFI ",中国移动,"G750-T01 V100R001CHNC00B152",一对代码什么也看不到,"一对代码什么也看不到 一对代码什么也看不到 一对代码什么也看不到","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3333001_425d6267-2675-4a42-ac36-55a1a158ca92.jpg""]",未知,P0,审核不通过,"2015-05-10 21:44:01"
2,1582699,首页添加卡片测试,辽宁省|鞍山市|海城市|X321(冉张线)|,"Huawei  H30-T10","Android 4.2.2","WIFI ",中国移动,"H30-T10 V100R001CHNC00B143",进入开心一刻的“图文”版块，第一个图片显示不正常！,在手机百度首页添加“开心一刻”卡片，进入开心一刻的“图文”版块，第一个图片显示不正常！,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3332558_317f4a73-3bfc-4a1f-9791-340f990dbefc.jpg""]",未知,P0,审核不通过,"2015-05-10 19:29:15"
1,1814912,进入百度图片搜索壁纸,山东|青岛,"Huawei  HUAWEI T8950","Android 4.0.4","WIFI ",中国联通,T8950V100R001CHNC01B111,浏览图片时，图片一顿才翻过去,搜索图片，上下滑动没问题，点击某张图片向右滑动时，图片一顿才划过去，害我总是以为自己手机卡掉了,[],未知,P0,审核不通过,"2015-05-11 18:32:22"
0,2327366,在首页搜索图片,浙江省|杭州市|江干区|新城商圈观音塘路|103号,"100jia  100C","Android 4.2.2","WIFI ",中国移动,BL_100C_T01.10201727,点击搜索，搜索结果页面刷新出来后，不显示图片,"进入首页后，搜索栏内搜索范冰冰，点击搜索，图片均无显示（返回，重新点击搜索，均为此情况）。
Wifi连接网络，网络速度正常，移动12M宽带。100+手机，百度云操作系统","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3332044_ec9c2994-d7c9-49b9-bb0c-a6b4b4c9e747.jpg""]",未知,P0,审核不通过,"2015-05-10 15:19:51"
1,2327366,进入百度图片搜索壁纸,浙江省|杭州市|江干区|新城商圈观音塘路|103号,"100jia  100C","Android 4.2.2","WIFI ",中国移动,BL_100C_T01.10201727,搜索壁纸，搜索结果刷新出来后，不显示图片,"Wifi连接，移动宽带12M，网络正常，手机100+百度云操作系统。
输入壁纸，点击搜索，页面刷新出来后，不显示任何图片，点击进入子页面也一样。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3332045_1b97b0ed-20c8-4d79-a16e-3d98f646a8b8.jpg""]",未知,P0,审核不通过,"2015-05-10 15:19:51"
3,2327366,访问其他网站,浙江省|杭州市|江干区|新城商圈观音塘路|103号,"100jia  100C","Android 4.2.2","WIFI ",中国移动,BL_100C_T01.10201727,省流量模式不会根据网络状况自动调整,在Wifi环境下，省流量模式不会自动关闭，一直保持在无图模式，没有自动切换，导致页面一直无图片显示。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3332047_b8efbe9e-8138-4414-bb2d-c144089a3f8c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3332046_d8d61a56-a206-49d4-8d35-306cf0e10bf4.jpg""]",未知,P0,审核不通过,"2015-05-10 15:19:51"
1,2557765,进入百度图片搜索壁纸,四川省|宜宾市|翠屏区|永兴街|37号,"Xiaomi  MI 2SC","Android 4.1.1","WIFI ",中国电信,JRO03L,图片首页无搜索按钮，无法搜索,无搜索按钮，无法进行搜索。具体见为任务截图。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3322822_d2a277ea-1ab0-4fd0-8cfc-d789f39af504.jpg""]",未知,P0,审核不通过,"2015-05-08 20:56:45"
