case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,187820,兼容性,北京市|北京市|房山区|高家坡路|,"Coolpad  YL-Coolpad 9960","Android 4.1.1","WIFI ",无SIM卡,4.1.097.P2.130604.9960,手机系统字号设置为最大时，列表无法完全显示,手机系统字号设置为最大。打开软件切换至“项目”一栏，项目列表中的第三行文字被挤到最下面，无法完整显示，影响阅读体验。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7744597_ab9b0ede-9fad-4f46-bbf2-c51c6ac07ad1.jpg""]",未知,P0,审核通过,"2015-12-03 19:41:03"
0,772212,兼容性,广东省|广州市|海珠区|南约新街|南4巷-1号,"Haier  HT-I860","Android 4.2.1","WIFI ",无SIM卡,HT-I860-H01-S02-CMCC,列表页信息，文字压线，不能完全显示。,列表页信息，文字压线，有20%不能完全显示出来。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7786886_c9bc9ac9-14bb-4115-b201-c696be36ece4.jpg""]",未知,P0,审核通过,"2015-12-04 20:00:43"
0,779468,兼容性,北京市|北京市|昌平区|太平庄北街|,"Huawei  S8-701u","Android 4.3","WIFI ",unknown,S8-701uV100R001C233B008,最上方的banner显示不全，看截图；最上方的banner显示不全，看截图；,最上方的banner显示不全，看截图；最上方的banner显示不全，看截图；,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716495_50ec5273-04bb-4c85-bb87-b91444711103.jpg""]",未知,P0,审核通过,"2015-12-02 22:27:28"
0,996311,兼容性,北京市|北京市|西城区|阜成门外大街|30号,"Lenovo  Lenovo Z90-7","Android 5.0.2","WIFI ",unknown,VIBEUI_V2.5_1527_5.468.1_ST_Z9,更多-关于我们-拉到最下面，访问官网点击无反应,更多-关于我们-拉到最下面，访问官网点击无反应,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7765433_e3f47cf5-4594-4561-a582-2a110f2f9c0d.jpg""]",未知,P0,审核通过,"2015-12-04 11:47:16"
0,2787376,兼容性,河北省|石家庄市|栾城县|栾城大街|,"Lenovo  Lenovo A750","Android 4.0.3","WIFI ",无SIM卡,A750_S306_120530,程序不兼容，打开后退出，无法进入,程序不兼容，打开后退出，无法进入，Android4.0系统,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7715652_a7512742-ffee-443e-86ba-7f78eb43fc47.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7715651_624f747f-5b00-427c-9c7a-45d673d1d4df.jpg""]",未知,P0,审核通过,"2015-12-02 21:24:29"
0,14249025,兼容性,江苏省|镇江市|京口区|智慧大道|,"OPPO  R811","Android 4.0.4","WIFI ",无SIM卡,R811_12_4.11_140626,打开软件，软件不能正常运行,点击打开软件，软件进入主页后就出现闪退现象，不能正常运行,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7715537_4758ffc2-ff58-4d10-9103-cb8c46c03c6f.jpg""]",未知,P0,审核通过,"2015-12-02 21:13:40"
0,14329011,兼容性,北京市|北京市|昌平区|X021(东北路)|,"ZTE  U9180","Android 4.3","WIFI ",中国移动,"ZTE U9180_CNMobileCommon_V0.50",投标项目的相关资料，点击图片后，对图片进行放大和缩小操作时，会出现APP崩溃,投标项目的相关资料，点击图片后，对图片进行放大和缩小操作时，会出现APP崩溃,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716684_bf845647-84ad-4186-96de-d379034c23b0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716683_48283940-d5f4-4812-9161-d9a87b63c72f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716682_8e81354a-f2da-46b3-8d9e-ad5da3a723b5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716681_5de3eab4-0582-41e3-8258-8c723dd4fd1f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716680_15c86a3a-b1dc-46e2-af9e-fb3521729e45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716679_a5bf0279-ab7e-47bf-925a-b1c7295c5e15.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716678_5a92cc4d-9eb3-4e97-9878-d906bb24543e.jpg""]",未知,P0,审核通过,"2015-12-02 22:45:56"
0,14329011,兼容性,北京市|北京市|昌平区|X021(东北路)|,"ZTE  U9180","Android 4.3","WIFI ",中国移动,"ZTE U9180_CNMobileCommon_V0.50",投标项目的投资记录页面，金额是1位小数；对于金额，常规都是2位小数；同时金额没有用千分位符,投标项目的投资记录页面，金额是1位小数；对于金额，常规都是2位小数；同时金额没有用千分位符,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716684_bf845647-84ad-4186-96de-d379034c23b0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716683_48283940-d5f4-4812-9161-d9a87b63c72f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716682_8e81354a-f2da-46b3-8d9e-ad5da3a723b5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716681_5de3eab4-0582-41e3-8258-8c723dd4fd1f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716680_15c86a3a-b1dc-46e2-af9e-fb3521729e45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716679_a5bf0279-ab7e-47bf-925a-b1c7295c5e15.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716678_5a92cc4d-9eb3-4e97-9878-d906bb24543e.jpg""]",未知,P0,审核通过,"2015-12-02 22:45:56"
0,14329011,兼容性,北京市|北京市|昌平区|X021(东北路)|,"ZTE  U9180","Android 4.3","WIFI ",中国移动,"ZTE U9180_CNMobileCommon_V0.50","问题1：充值时提示绑卡的提示语有问题，点击充值提示“该银行卡用户充值与体现”，应该是“该银行卡用于充值与体现”
问题2：项目列表，从页面底部向上滑动屏幕时，提示下拉刷新，应该是上拉刷新才对
问题3：投标项目详情页的可投金额有金额单位元，但可用金额没有金额单位元","问题1：充值时提示绑卡的提示语有问题，点击充值提示“该银行卡用户充值与体现”，应该是“该银行卡用于充值与体现”
问题2：项目列表，从页面底部向上滑动屏幕时，提示下拉刷新，应该是上拉刷新才对
问题3：投标项目详情页的可投金额有金额单位元，但可用金额没有金额单位元","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716684_bf845647-84ad-4186-96de-d379034c23b0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716683_48283940-d5f4-4812-9161-d9a87b63c72f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716682_8e81354a-f2da-46b3-8d9e-ad5da3a723b5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716681_5de3eab4-0582-41e3-8258-8c723dd4fd1f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716680_15c86a3a-b1dc-46e2-af9e-fb3521729e45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716679_a5bf0279-ab7e-47bf-925a-b1c7295c5e15.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716678_5a92cc4d-9eb3-4e97-9878-d906bb24543e.jpg""]",未知,P0,审核通过,"2015-12-02 22:45:56"
0,14329011,兼容性,北京市|北京市|昌平区|X021(东北路)|,"ZTE  U9180","Android 4.3","WIFI ",中国移动,"ZTE U9180_CNMobileCommon_V0.50",计算收益，理财金额没有做位数判断；当理财金额数额过大时，产品预期收益金额会跟文字重叠,计算收益，理财金额没有做位数判断；当理财金额数额过大时，产品预期收益金额会跟文字重叠,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716684_bf845647-84ad-4186-96de-d379034c23b0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716683_48283940-d5f4-4812-9161-d9a87b63c72f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716682_8e81354a-f2da-46b3-8d9e-ad5da3a723b5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716681_5de3eab4-0582-41e3-8258-8c723dd4fd1f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716680_15c86a3a-b1dc-46e2-af9e-fb3521729e45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716679_a5bf0279-ab7e-47bf-925a-b1c7295c5e15.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716678_5a92cc4d-9eb3-4e97-9878-d906bb24543e.jpg""]",未知,P0,审核通过,"2015-12-02 22:45:56"
0,14329011,兼容性,北京市|北京市|昌平区|X021(东北路)|,"ZTE  U9180","Android 4.3","WIFI ",中国移动,"ZTE U9180_CNMobileCommon_V0.50",投资时的投资金额位数没有做限定，当位数太大时提示网络异常请稍后再试。建议：1.投资金额不能大于可投金额；2.投资金额位数坐下限制；3.位数过大时，当前提示语错误，请修改提示语；4.投资金额无法输入小数点；5.同时当位数太大时，文本框下面的提示语跟文本框的金额有出入。,投资时的投资金额位数没有做限定，当位数太大时提示网络异常请稍后再试。建议：1.投资金额不能大于可投金额；2.投资金额位数坐下限制；3.位数过大时，当前提示语错误，请修改提示语；4.投资金额无法输入小数点；5.同时当位数太大时，文本框下面的提示语跟文本框的金额有出入。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716684_bf845647-84ad-4186-96de-d379034c23b0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716683_48283940-d5f4-4812-9161-d9a87b63c72f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716682_8e81354a-f2da-46b3-8d9e-ad5da3a723b5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716681_5de3eab4-0582-41e3-8258-8c723dd4fd1f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716680_15c86a3a-b1dc-46e2-af9e-fb3521729e45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716679_a5bf0279-ab7e-47bf-925a-b1c7295c5e15.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716678_5a92cc4d-9eb3-4e97-9878-d906bb24543e.jpg""]",未知,P0,审核通过,"2015-12-02 22:45:56"
